"Volume Ekspor Menurut Negara/Wilayah/Entitas tertentu Tujuan Utama (Berat bersih: ribu ton), 2000-2024",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Negara/Wilayah/Entitas tertentu Tujuan,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ASIA,,,,,,,,,,,,,,,,,,,,,,,,,
ASEAN," 73,953.6 "," 113,047.2 "," 58,108.4 "," 43,139.4 "," 42,435.9 "," 45,416.4 "," 54,490.1 "," 51,562.7 "," 56,862.5 "," 57,581.6 "," 70,383.6 "," 75,481.5 "," 79,151.9 "," 86,703.2 "," 88,033.4 "," 96,396.8 "," 100,241.2 "," 111,396.4 "," 122,585.4 "," 130,530.9 "," 133,908.9 "," 135,657.0 "," 128,582.4 "," 146,885.5 "," 159,692.4 "
Thailand," 5,065.6 "," 4,950.9 "," 6,250.8 "," 6,983.3 "," 7,550.9 "," 8,498.7 "," 11,138.8 "," 14,197.2 "," 14,763.2 "," 13,831.6 "," 15,816.9 "," 16,276.3 "," 18,517.7 "," 17,728.0 "," 20,008.4 "," 22,676.2 "," 21,818.0 "," 22,411.5 "," 25,099.9 "," 22,521.1 "," 21,437.5 "," 20,863.6 "," 19,993.7 "," 17,501.4 "," 19,988.3 "
Singapura," 57,907.5 "," 95,645.5 "," 39,046.6 "," 22,072.8 "," 18,390.9 "," 19,269.9 "," 20,762.6 "," 12,593.9 "," 15,886.7 "," 11,406.8 "," 13,424.4 "," 16,847.6 "," 18,141.2 "," 21,530.3 "," 22,057.6 "," 24,035.2 "," 24,715.1 "," 24,034.2 "," 21,679.5 "," 19,331.3 "," 16,557.8 "," 19,909.0 "," 18,000.9 "," 18,213.3 "," 17,993.0 "
Filipina," 4,960.0 "," 5,667.0 "," 4,508.8 "," 4,320.5 "," 4,780.3 "," 5,026.4 "," 6,791.9 "," 7,318.4 "," 7,295.2 "," 8,850.3 "," 12,533.7 "," 12,348.4 "," 12,998.0 "," 15,997.4 "," 16,782.5 "," 18,094.0 "," 20,511.2 "," 22,356.6 "," 26,682.9 "," 31,116.4 "," 32,323.1 "," 35,159.2 "," 36,007.2 "," 41,133.5 "," 44,307.7 "
Malaysia," 4,592.5 "," 5,559.9 "," 7,049.5 "," 8,360.2 "," 10,509.7 "," 11,248.4 "," 13,553.6 "," 14,629.4 "," 16,074.7 "," 20,482.7 "," 25,401.7 "," 26,415.7 "," 26,011.2 "," 26,716.0 "," 24,346.4 "," 24,873.7 "," 24,955.6 "," 29,531.6 "," 30,357.4 "," 34,199.3 "," 36,283.0 "," 35,283.1 "," 35,198.4 "," 38,643.8 "," 37,673.3 "
Myanmar, 109.6 , 186.5 , 136.7 , 85.8 , 95.6 , 132.8 , 271.1 , 364.5 , 245.2 , 244.0 , 336.3 , 252.6 , 381.8 , 644.6 , 751.6 , 784.7 , 964.5 ," 1,132.2 "," 1,268.7 "," 1,329.7 "," 1,454.1 "," 1,107.6 ", 733.3 , 854.0 , 652.4 
Kamboja, 84.7 , 122.1 , 110.5 , 188.2 , 74.0 , 52.2 , 60.1 , 108.7 , 110.8 , 122.3 , 193.9 , 258.4 , 253.1 , 383.8 , 728.4 ," 1,634.8 "," 1,579.1 "," 2,466.7 "," 2,318.5 "," 2,893.0 "," 2,960.9 "," 2,268.9 "," 2,178.6 "," 4,459.6 "," 5,257.9 "
Brunei Darussalam, 34.6 , 54.5 , 51.7 , 98.5 , 95.7 , 24.3 , 151.8 , 204.0 , 194.6 , 232.9 , 63.8 , 66.8 , 50.0 , 53.6 , 104.1 , 48.5 , 65.8 , 104.8 , 125.3 , 650.6 ," 1,345.5 "," 1,563.3 "," 1,307.5 "," 1,118.4 "," 1,175.6 "
Laos, 0.2 , 0.4 , 0.4 , 0.2 , 0.8 , 0.9 , 0.8 , 1.1 , 0.9 , 1.0 , 1.4 , 1.7 , 35.1 , 1.2 , 0.9 , 1.5 , 1.0 , 0.8 , 1.3 , 1.1 , 0.9 , 1.2 , 1.1 , 12.6 , 35.3 
