negara,region,lat,lon,tahun,volume_ribu_ton,pertumbuhan_persen
Amerika Serikat,Amerika,37.09,-95.71,2000,6606.3,
Amerika Serikat,Amerika,37.09,-95.71,2001,6523.1,-1.26
Amerika Serikat,Amerika,37.09,-95.71,2002,6542.8,0.3
Amerika Serikat,Amerika,37.09,-95.71,2003,6832.8,4.43
Amerika Serikat,Amerika,37.09,-95.71,2004,7371.0,7.88
Amerika Serikat,Amerika,37.09,-95.71,2005,7156.3,-2.91
Amerika Serikat,Amerika,37.09,-95.71,2006,8362.3,16.85
Amerika Serikat,Amerika,37.09,-95.71,2007,8550.5,2.25
Amerika Serikat,Amerika,37.09,-95.71,2008,8125.4,-4.97
Amerika Serikat,Amerika,37.09,-95.71,2009,5674.2,-30.17
Amerika Serikat,Amerika,37.09,-95.71,2010,6413.1,13.02
Amerika Serikat,Amerika,37.09,-95.71,2011,4879.5,-23.91
Amerika Serikat,Amerika,37.09,-95.71,2012,3783.4,-22.46
Amerika Serikat,Amerika,37.09,-95.71,2013,5684.7,50.25
Amerika Serikat,Amerika,37.09,-95.71,2014,6288.1,10.61
Amerika Serikat,Amerika,37.09,-95.71,2015,7059.1,12.26
Amerika Serikat,Amerika,37.09,-95.71,2016,6563.0,-7.03
Amerika Serikat,Amerika,37.09,-95.71,2017,6758.1,2.97
Amerika Serikat,Amerika,37.09,-95.71,2018,6950.1,2.84
Amerika Serikat,Amerika,37.09,-95.71,2019,5475.3,-21.22
Amerika Serikat,Amerika,37.09,-95.71,2020,5633.8,2.89
Amerika Serikat,Amerika,37.09,-95.71,2021,6801.5,20.73
Amerika Serikat,Amerika,37.09,-95.71,2022,6276.3,-7.72
Amerika Serikat,Amerika,37.09,-95.71,2023,6156.5,-1.91
Amerika Serikat,Amerika,37.09,-95.71,2024,6752.7,9.68
Australia,Australia & Oceania,-25.27,133.78,2000,4099.1,
Australia,Australia & Oceania,-25.27,133.78,2001,6697.9,63.4
Australia,Australia & Oceania,-25.27,133.78,2002,6365.4,-4.96
Australia,Australia & Oceania,-25.27,133.78,2003,4993.9,-21.55
Australia,Australia & Oceania,-25.27,133.78,2004,4724.4,-5.4
Australia,Australia & Oceania,-25.27,133.78,2005,4852.1,2.7
Australia,Australia & Oceania,-25.27,133.78,2006,4500.7,-7.24
Australia,Australia & Oceania,-25.27,133.78,2007,4496.4,-0.1
Australia,Australia & Oceania,-25.27,133.78,2008,4680.8,4.1
Australia,Australia & Oceania,-25.27,133.78,2009,4608.6,-1.54
Australia,Australia & Oceania,-25.27,133.78,2010,5264.2,14.23
Australia,Australia & Oceania,-25.27,133.78,2011,5764.8,9.51
Australia,Australia & Oceania,-25.27,133.78,2012,4622.7,-19.81
Australia,Australia & Oceania,-25.27,133.78,2013,4593.4,-0.63
Australia,Australia & Oceania,-25.27,133.78,2014,3558.8,-22.52
Australia,Australia & Oceania,-25.27,133.78,2015,3553.2,-0.16
Australia,Australia & Oceania,-25.27,133.78,2016,3599.1,1.29
Australia,Australia & Oceania,-25.27,133.78,2017,3009.8,-16.37
Australia,Australia & Oceania,-25.27,133.78,2018,3653.5,21.39
Australia,Australia & Oceania,-25.27,133.78,2019,3287.4,-10.02
Australia,Australia & Oceania,-25.27,133.78,2020,2299.2,-30.06
Australia,Australia & Oceania,-25.27,133.78,2021,2800.8,21.82
Australia,Australia & Oceania,-25.27,133.78,2022,2778.3,-0.8
