negara,region,lat,lon,tahun,volume_ribu_ton,tipe
Amerika Serikat,Amerika,37.09,-95.71,2000,6606.3,historis
Amerika Serikat,Amerika,37.09,-95.71,2001,6523.1,historis
Amerika Serikat,Amerika,37.09,-95.71,2002,6542.8,historis
Amerika Serikat,Amerika,37.09,-95.71,2003,6832.8,historis
Amerika Serikat,Amerika,37.09,-95.71,2004,7371.0,historis
Amerika Serikat,Amerika,37.09,-95.71,2005,7156.3,historis
Amerika Serikat,Amerika,37.09,-95.71,2006,8362.3,historis
Amerika Serikat,Amerika,37.09,-95.71,2007,8550.5,historis
Amerika Serikat,Amerika,37.09,-95.71,2008,8125.4,historis
Amerika Serikat,Amerika,37.09,-95.71,2009,5674.2,historis
Amerika Serikat,Amerika,37.09,-95.71,2010,6413.1,historis
Amerika Serikat,Amerika,37.09,-95.71,2011,4879.5,historis
Amerika Serikat,Amerika,37.09,-95.71,2012,3783.4,historis
Amerika Serikat,Amerika,37.09,-95.71,2013,5684.7,historis
Amerika Serikat,Amerika,37.09,-95.71,2014,6288.1,historis
Amerika Serikat,Amerika,37.09,-95.71,2015,7059.1,historis
Amerika Serikat,Amerika,37.09,-95.71,2016,6563.0,historis
Amerika Serikat,Amerika,37.09,-95.71,2017,6758.1,historis
Amerika Serikat,Amerika,37.09,-95.71,2018,6950.1,historis
Amerika Serikat,Amerika,37.09,-95.71,2019,5475.3,historis
Amerika Serikat,Amerika,37.09,-95.71,2020,5633.8,historis
Amerika Serikat,Amerika,37.09,-95.71,2021,6801.5,historis
Amerika Serikat,Amerika,37.09,-95.71,2022,6276.3,historis
Amerika Serikat,Amerika,37.09,-95.71,2023,6156.5,historis
Amerika Serikat,Amerika,37.09,-95.71,2024,6752.7,historis
Amerika Serikat,Amerika,37.09,-95.71,2025,6813.58,prediksi
Amerika Serikat,Amerika,37.09,-95.71,2026,6525.88,prediksi
Amerika Serikat,Amerika,37.09,-95.71,2027,6447.11,prediksi
Australia,Australia & Oceania,-25.27,133.78,2000,4099.1,historis
Australia,Australia & Oceania,-25.27,133.78,2001,6697.9,historis
Australia,Australia & Oceania,-25.27,133.78,2002,6365.4,historis
Australia,Australia & Oceania,-25.27,133.78,2003,4993.9,historis
Australia,Australia & Oceania,-25.27,133.78,2004,4724.4,historis
Australia,Australia & Oceania,-25.27,133.78,2005,4852.1,historis
Australia,Australia & Oceania,-25.27,133.78,2006,4500.7,historis
Australia,Australia & Oceania,-25.27,133.78,2007,4496.4,historis
Australia,Australia & Oceania,-25.27,133.78,2008,4680.8,historis
